Country,Latitude,Longitude,Region,Aliases
Afghanistan,33.94,67.71,Asia,afghan|kabul
Albania,41.15,20.17,Europe,albanian|tirana
Algeria,28.03,1.66,Africa,algerian
Angola,-11.2,17.87,Africa,angolan
Antigua and Barbuda,17.06,-61.8,Caribbean,
Argentina,-38.42,-63.62,South America,argentinian|argentine|buenos aires
Armenia,40.07,45.04,Asia,armenian|yerevan
Australia,-25.27,133.78,Oceania,australian|sydney|melbourne|brisbane|perth|canberra|adelaide|geelong
Austria,47.52,14.55,Europe,austrian|vienna
Azerbaijan,40.14,47.58,Asia,azerbaijani|baku
Bahamas,25.03,-77.4,Caribbean,bahamian|nassau
Bahrain,25.93,50.64,Asia,manama
Bangladesh,23.68,90.36,Asia,bangladeshi|dhaka|chittagong
Barbados,13.19,-59.54,Caribbean,barbadian|bridgetown
Belarus,53.71,27.95,Europe,belarusian|minsk
Belgium,50.85,4.35,Europe,belgian|brussels|antwerp
Belize,17.19,-88.5,Central America,belizean
Benin,9.31,2.32,Africa,beninese
Bhutan,27.51,90.43,Asia,thimphu
Bolivia,-16.29,-63.59,South America,bolivian|la paz
Bosnia and Herzegovina,43.92,17.68,Europe,sarajevo
Botswana,-22.33,24.68,Africa,botswanan
Brazil,-14.24,-51.93,South America,brazilian|sao paulo|são paulo|rio de janeiro|brasilia
Brunei,4.54,114.73,Asia,
Bulgaria,42.73,25.49,Europe,bulgarian|sofia
Burkina Faso,12.24,-1.56,Africa,burkinabe
Burundi,-3.37,29.92,Africa,burundian
Cabo Verde,16.0,-24.01,Africa,cape verde|cape verdean
Cambodia,12.57,104.99,Asia,cambodian|phnom penh
Cameroon,7.37,12.35,Africa,cameroonian
Canada,56.13,-106.35,North America,canadian|toronto|vancouver|montreal|ottawa|calgary
Central African Republic,6.61,20.94,Africa,
Chad,15.45,18.73,Africa,chadian
Chile,-35.68,-71.54,South America,chilean|santiago
China,35.86,104.2,Asia,chinese|beijing|shanghai|shenzhen|guangzhou|hangzhou|wuhan|chengdu
Colombia,4.57,-74.3,South America,colombian|bogota|medellin|medellín
Comoros,-11.88,43.87,Africa,comorian
Costa Rica,9.75,-83.75,Central America,costa rican|san jose
Croatia,45.1,15.2,Europe,croatian|zagreb
